monthly,expiration,execution_date,last_trade_date,num_underlying
False,2014-05-02,2014-04-25,2014-05-02,30
False,2014-05-09,2014-05-02,2014-05-09,30
True,2014-05-17,2014-05-09,2014-05-16,31
False,2014-05-23,2014-05-16,2014-05-23,30
False,2014-05-30,2014-05-23,2014-05-30,27
False,2014-06-06,2014-05-30,2014-06-06,29
False,2014-06-13,2014-06-06,2014-06-13,28
True,2014-06-21,2014-06-13,2014-06-20,32
False,2014-06-27,2014-06-20,2014-06-27,28
False,2014-07-03,2014-06-27,2014-07-03,27
False,2014-07-11,2014-07-03,2014-07-11,26
True,2014-07-19,2014-07-11,2014-07-18,32
False,2014-07-25,2014-07-18,2014-07-25,27
False,2014-08-01,2014-07-25,2014-08-01,30
False,2014-08-08,2014-08-01,2014-08-08,31
True,2014-08-16,2014-08-08,2014-08-15,33
False,2014-08-22,2014-08-15,2014-08-22,30
False,2014-08-29,2014-08-22,2014-08-29,30
False,2014-09-05,2014-08-29,2014-09-05,26
False,2014-09-12,2014-09-05,2014-09-12,28
True,2014-09-20,2014-09-12,2014-09-19,34
False,2014-09-26,2014-09-19,2014-09-26,27
False,2014-10-03,2014-09-26,2014-10-03,30
False,2014-10-10,2014-10-03,2014-10-10,32
True,2014-10-18,2014-10-10,2014-10-17,35
False,2014-10-24,2014-10-17,2014-10-24,32
False,2014-10-31,2014-10-24,2014-10-31,32
False,2014-11-07,2014-10-31,2014-11-07,31
False,2014-11-14,2014-11-07,2014-11-14,30
True,2014-11-22,2014-11-14,2014-11-21,35
False,2014-11-28,2014-11-21,2014-11-28,28
False,2014-12-05,2014-11-28,2014-12-05,26
False,2014-12-12,2014-12-05,2014-12-12,31
True,2014-12-20,2014-12-12,2014-12-19,36
False,2014-12-26,2014-12-19,2014-12-26,29
False,2015-01-02,2014-12-26,2015-01-02,27
False,2015-01-09,2015-01-02,2015-01-09,31
True,2015-01-17,2015-01-09,2015-01-16,36
False,2015-01-23,2015-01-16,2015-01-23,32
False,2015-01-30,2015-01-23,2015-01-30,32
False,2015-02-06,2015-01-30,2015-02-06,32
False,2015-02-13,2015-02-06,2015-02-13,31
True,2015-02-20,2015-02-13,2015-02-20,36
False,2015-02-27,2015-02-20,2015-02-27,30
False,2015-03-06,2015-02-27,2015-03-06,31
False,2015-03-13,2015-03-06,2015-03-13,32
True,2015-03-20,2015-03-13,2015-03-20,36
False,2015-03-27,2015-03-20,2015-03-27,31
False,2015-04-02,2015-03-27,2015-04-02,31
False,2015-04-10,2015-04-02,2015-04-10,32
True,2015-04-17,2015-04-10,2015-04-17,35
False,2015-04-24,2015-04-17,2015-04-24,30
False,2015-05-01,2015-04-24,2015-05-01,30
False,2015-05-08,2015-05-01,2015-05-08,29
True,2015-05-15,2015-05-08,2015-05-15,33
False,2015-05-22,2015-05-15,2015-05-22,30
False,2015-05-29,2015-05-22,2015-05-29,30
False,2015-06-05,2015-05-29,2015-06-05,30
False,2015-06-12,2015-06-05,2015-06-12,31
True,2015-06-19,2015-06-12,2015-06-19,36
False,2015-06-26,2015-06-19,2015-06-26,32
False,2015-07-02,2015-06-26,2015-07-02,30
False,2015-07-10,2015-07-02,2015-07-10,32
True,2015-07-17,2015-07-10,2015-07-17,37
False,2015-07-24,2015-07-17,2015-07-24,30
False,2015-07-31,2015-07-24,2015-07-31,31
False,2015-08-07,2015-07-31,2015-08-07,32
False,2015-08-14,2015-08-07,2015-08-14,31
True,2015-08-21,2015-08-14,2015-08-21,33
False,2015-08-28,2015-08-21,2015-08-28,32
False,2015-09-04,2015-08-28,2015-09-04,33
False,2015-09-11,2015-09-04,2015-09-11,32
True,2015-09-18,2015-09-11,2015-09-18,35
False,2015-09-25,2015-09-18,2015-09-25,33
False,2015-10-02,2015-09-25,2015-10-02,33
False,2015-10-09,2015-10-02,2015-10-09,33
True,2015-10-16,2015-10-09,2015-10-16,35
False,2015-10-23,2015-10-16,2015-10-23,33
False,2015-10-30,2015-10-23,2015-10-30,32
False,2015-11-06,2015-10-30,2015-11-06,33
False,2015-11-13,2015-11-06,2015-11-13,31
True,2015-11-20,2015-11-13,2015-11-20,34
False,2015-11-27,2015-11-20,2015-11-27,29
False,2015-12-04,2015-11-27,2015-12-04,33
False,2015-12-11,2015-12-04,2015-12-11,29
True,2015-12-19,2015-12-11,2015-12-18,1
False,2015-12-24,2015-12-18,2015-12-24,30
False,2015-12-31,2015-12-24,2015-12-31,30
False,2016-01-08,2015-12-31,2016-01-08,31
True,2016-01-15,2016-01-08,2016-01-15,36
False,2016-01-22,2016-01-15,2016-01-22,32
False,2016-01-29,2016-01-22,2016-01-29,33
False,2016-02-05,2016-01-29,2016-02-05,32
False,2016-02-12,2016-02-05,2016-02-12,33
